#,Gym Name,Rating,Reviews,City,State
1101,La Par'de Fitness,5.0,19,Baltimore,MD
1102,Merritt Clubs White Marsh,4.5,521,Baltimore,MD
1103,True Balance Studio,5.0,62,Baltimore,MD
1104,Embody Pilates & Wellness,5.0,28,Baltimore,MD
1105,Iron Tribe Fitness - East Memphis,4.9,171,Memphis,TN
1106,Crunch Fitness - White Station,4.3,498,Memphis,TN
1107,Gold's Gym Memphis,4.6,243,Memphis,TN
1108,Gym 11,5.0,29,Memphis,TN
1109,East Memphis Athletic Club,4.7,90,Memphis,TN
1110,Penny Gym,4.8,32,Memphis,TN
1111,Envision Memphis,4.8,60,Memphis,TN
1112,"Wellhouse Fitness, LLC",4.9,41,Memphis,TN
1113,Fogelman Downtown YMCA,4.4,381,Memphis,TN
1114,ATC Fitness,4.4,164,Memphis,TN
1115,Strength Empire Memphis,5.0,16,Memphis,TN
1116,Higher Memphis,4.9,19,Memphis,TN
1117,Planet Fitness,4.5,793,Memphis,TN
1118,Deep River Fit,5.0,63,Memphis,TN
1119,Klein Fitness,4.9,31,Memphis,TN
1120,BESTBODY FITNESS TRAINING STUDIO,5.0,19,Memphis,TN
1121,InsideOut Gym,4.9,9,Memphis,TN
1122,Element 47 Fitness (formerly CrossFit Blackbuck),5.0,42,Memphis,TN
1123,Peabody Athletic Club,4.2,5,Memphis,TN
1124,Orangetheory Fitness,4.7,165,Memphis,TN
1125,Fite Nite MMA,5.0,17,Memphis,TN
1126,IAmFitness Memphis LLC,5.0,63,Memphis,TN
1127,Neighborhood Barre Memphis,5.0,43,Memphis,TN
1128,Ric Nuber YMCA,4.6,198,Memphis,TN
1129,Memphis Rox Climbing + Community,4.8,487,Memphis,TN
1130,Mobilize Fitness,4.6,22,Memphis,TN
1131,Jasper Float Spa & Wellness Center - Downtown Memphis,5.0,296,Memphis,TN
1132,Total Package Health & Wellness,4.9,158,Memphis,TN
1133,Basecamp Fitness Memphis (East),4.3,41,Memphis,TN
1134,Crosstown Concourse,4.7,840,Memphis,TN
1135,CLUB4 Fitness Memphis,4.2,226,Memphis,TN
1136,Starting Strength Memphis,5.0,76,Memphis,TN
1137,Memphis Fitness Co.,5.0,205,Memphis,TN
1138,Greenlaw Community Center,4.7,38,Memphis,TN
1139,Midtown Massage & Bodywork,4.9,351,Memphis,TN
1140,Overton Park,4.6,"8,101",Memphis,TN
1141,"The Central Station Memphis, Curio Collection by Hilton",4.3,976,Memphis,TN
1142,Highland Row,4.2,209,Memphis,TN
1143,ARRIVE Memphis,4.6,629,Memphis,TN
1144,The Oliver Luxury Apartments,4.6,110,Memphis,TN
1145,The Citizen Apartments,4.7,215,Memphis,TN
1146,The Peabody Memphis,4.5,"9,550",Memphis,TN
1147,Memphis Vitality Hotel,4.1,770,Memphis,TN
1148,Elite Living Residence - Studio Furnished Apartment,4.6,10,Memphis,TN
1149,Feather's Spa at The Peabody Memphis,4.4,34,Memphis,TN
1150,The Factory Gym,4.7,232,Louisville,KY
1151,Elevate Fitness,5.0,31,Louisville,KY
1152,FITNESS 19,4.4,125,Louisville,KY
1153,Derby City Fit Club,5.0,116,Louisville,KY
1154,Flex Appeal,4.6,95,Louisville,KY
1155,Fabode Fitness Gym,4.9,43,Louisville,KY
1156,Peak Fitness,5.0,41,Louisville,KY
1157,Distilled Fitness,5.0,44,Louisville,KY
1158,GRIT Fitness,5.0,35,Louisville,KY
1159,The Jungle Gym,5.0,30,Louisville,KY
1160,BAREFIT MOVEMENT CO-OP,4.3,74,Louisville,KY
1161,ProFormance Health & Wellbeing,5.0,394,Louisville,KY
1162,Glassworks Fitness,4.7,24,Louisville,KY
1163,Jays World of Fitness 24/7 gym,4.2,60,Louisville,KY
1164,Downtown Family YMCA,4.6,604,Louisville,KY
1165,Mid-City Barbell,5.0,41,Louisville,KY
1166,Planet Fitness,4.2,732,Louisville,KY
1167,Full Tilt,4.8,17,Louisville,KY
1168,Orangetheory Fitness,4.9,225,Louisville,KY
1169,CrossFit Covalence,5.0,224,Louisville,KY
1170,Next Level Sports Nutrition,4.9,774,Louisville,KY
1171,Anytime Fitness,5.0,174,Louisville,KY
1172,Beckman Fitness,4.5,15,Louisville,KY
1173,F45 Training Lyndon at Westport Village,5.0,120,Louisville,KY
1174,Fitness On Frankfort,4.6,19,Louisville,KY
1175,Body Solutionz Gym,5.0,61,Louisville,KY
1176,"HOTWORX - Louisville, KY - Highlands",5.0,64,Louisville,KY
1177,Crunch Fitness - Dixie,4.3,747,Louisville,KY
1178,Southeast Family YMCA,4.6,328,Louisville,KY
1179,barre3,5.0,150,Louisville,KY
1180,Baptist Milestone,4.2,69,Louisville,KY
1181,Shred415 Highlands,4.9,128,Louisville,KY
1182,Incomparable Fitness,4.9,12,Louisville,KY
1183,Everyday Athletes,4.8,150,Louisville,KY
1184,B.YOU Fitness | Infared Pilates | Air Reformer | Barre | Rebounding | Yoga,4.9,44,Louisville,KY
1185,Body & Soul Personal Training,4.8,28,Louisville,KY
1186,University Fitness Center,5.0,2,Louisville,KY
1187,Toro Fitness,4.4,24,Louisville,KY
1188,Norton Sports Health Performance & Wellness Center,4.8,102,Louisville,KY
1189,CYL Sauna Studio,4.9,61,Louisville,KY
1190,502 Power Yoga,5.0,379,Louisville,KY
1191,EmberHaus Method,4.5,8,Louisville,KY
1192,Lowber Pilates,5.0,18,Louisville,KY
1193,YOGAST8,5.0,110,Louisville,KY
